"PMID"	"First author"	"CITY"	"GEOLONG"	"GEOLAT"	"COUNTRY"	"#SAMPLES"		"PMID"
10517500	"Reifenberger G"	"Bonn"	7.1	50.73	"Germany"	4		10517500
10526531	"Michelland S"	"La Tronche"	5.74	45.21	"France"	22		10526531
10526532	"Kujawski M"	"Poznan"	16.93	52.41	"Poland"	38		10526532
10526533	"Tarkkanen M"	"Helsinki"	24.94	60.17	"Finland"	28		10526533
10534175	"Larramendy ML"	"Helsinki"	24.94	60.17	"Finland"	50		10534175
10545709	"Steenman M"	"Amsterdam"	4.89	52.37	"Netherlands"	16		10545709
10545819	"Nishizaki T"	"Yamaguchi-shi"	131.47	34.19	"Japan"	6		10545819
10547580	"Terracciano L"	"Basel"	7.57	47.56	"Switzerland"	10		10547580
10550295	"Siu LL"	"Hong Kong"	114.16	22.29	"China"	10		10550295
10550299	"Rickert CH"	"Muenster"	7.63	51.96	"Germany"	22		10550299
10565298	"Skytting BT"	"Stockholm"	18.06	59.33	"Sweden"	69		10565298
10585588	"Aubele M"	"Oberschleissheim"	11.56	48.25	"Germany"	8		10585588
10594753	"Bastian BC"	"San Francisco"	-122.42	37.77	"United States"	17		10594753
10595906	"Speel EJ"	"Zurich"	8.55	47.37	"Switzerland"	44		10595906
10598139	"Parente F"	"Bordeaux"	-0.58	44.84	"France"	87		10598139
10604412	"Stafford ND"	"Hull"	-0.34	53.74	"United Kingdom"	57		10604412
10604741	"Vos CB"	"Leiden"	4.5	52.16	"The Netherlands"	15		10604741
10606182	"Malamou-Mitsi VD"	"Ioannina"	20.85	39.66	"Greece"	8		10606182
10612807	"Ghadimi BM"	"Bethesda"	-77.1	38.98	"United States"	2		10612807
10616525	"Ahmed MN"	"Durham"	-78.9	35.99	"United States"	19		10616525
10629552	"Buerger H"	"Muenster"	7.63	51.96	"Germany"	77		10629552
10632352	"Isola J"	"Tampere"	23.79	61.5	"Finland"	33		10632352
10638968	"Petersen S"	"Berlin"	13.41	52.52	"Germany"	64		10638968
10640139	"Mertens F"	"Lund"	13.19	55.71	"Sweden"	6		10640139
10640956	"Tada K"	"Yamaguchi-shi"	131.47	34.19	"Japan"	36		10640956
10643003	"Jay V"	"Toronto"	-79.42	43.7	"Canada"	1		10643003
10657872	"Barnard M"	"Toronto"	-79.42	43.7	"Canada"	1		10657872
10665921	"Aust DE"	"San Francisco"	-122.42	37.77	"United States"	74		10665921
10666385	"Walch AK"	"Munich"	11.58	48.14	"Germany"	63		10666385
10666394	"Edström E"	"Stockholm"	18.06	59.33	"Sweden"	34		10666394
10668897	"Weber T"	"Heidelberg"	8.69	49.41	"Germany"	19		10668897
10675380	"Waldman FM"	"San Francisco"	-122.42	37.77	"United States"	36		10675380
10675476	"Heller A"	"Jena"	11.59	50.93	"Germany"	10		10675476
10676635	"Joos S"	"Heidelberg"	8.69	49.41	"Germany"	12		10676635
10679918	"Bentz M"	"Ulm"	9.99	48.4	"Germany"	27		10679918
10686947	"el-Rifai W"	"Helsinki"	24.94	60.17	"Finland"	12		10686947
10699941	"Kim NG"	"Seoul"	126.98	37.57	"Korean Republic"	14		10699941
10700865	"Arranz E"	"Madrid"	-3.7	40.42	"Spain"	2		10700865
10702404	"El-Rifai W"	"Helsinki"	24.94	60.17	"Finland"	47		10702404
10702812	"Zunino A"	"Genoa"	8.92	44.43	"Italy"	2		10702812
10704677	"Koo SH"	"Daejeon"	127.42	36.32	"Korean Republic"	37		10704677
10706455	"Huhta T"	"Helsinki"	24.94	60.17	"Finland"	19		10706455
10717534	"Hidalgo A"	"Berlin"	13.41	52.52	"Germany"	24		10717534
10718214	"Peters K"	"Wuerzburg"	9.95	49.79	"Germany"	32		10718214
10719362	"Bridge JA"	"Omaha"	-95.94	41.26	"United States"	12		10719362
10719369	"El-Rifai W"	"Helsinki"	24.94	60.17	"Finland"	16		10719369
10734656	"Rice M"	"Dublin"	-6.25	53.33	"Ireland"	15		10734656
10735509	"Sanoudou D"	"Cambridge UK"	0.12	52.21	"United Kingdom"	51		10735509
10748288	"Simons A"	"Nijmegen"	5.84	51.81	"The Netherlands"	29		10748288
10748289	"Okada K"	"Otsu-shi"	135.87	35	"Japan"	5		10748289
